,getIVP,getHRP,getCLA
0,0.006626127632241907,0.03265569141796476,0.030580489121220022
1,0.026223204748010875,0.051390894473141824,0.04539675869987003
2,0.30718267564284774,0.20683193742883765,0.0814857563218816
3,0.29400937644971625,0.1900968087290773,0.061890731092959506
4,0.35891870047075236,0.2529224388653306,0.10690791233289065
5,0.33737921734907417,0.23897051417516324,0.092448601332211
6,0.3018307996662548,0.2109928253538107,0.06453816400632073
7,0.34809348122580763,0.25174728002812974,0.09805855741630642
8,0.36184884458221744,0.2662200586550676,0.11806401144201617
9,0.36275883046002044,0.27599042194144197,0.13037090769631532
10,0.37042623518111095,0.2910339736895575,0.15425957050692607
11,0.4019480789165282,0.310334589292137,0.1635715916546152
